name,whi,bla,his,asi,oth
ABDELHAMID,0.4043321299638989,0.09025270758122744,0.08303249097472924,0.07581227436823104,0.34657039711191334
ABDELHAQ,0.768595041322314,0.03305785123966942,0,0.05785123966942149,0.14049586776859505
ABDELJABAR,0.64,0,0,0,0.36
ABDELJABBAR,0.2358490566037736,0,0.0660377358490566,0.18867924528301888,0.5094339622641509
ABDELJABER,0.6510067114093959,0.020134228187919462,0,0.040268456375838924,0.28859060402684567
ABDELJALIL,0,0,0.25,0,0.75
ABDELJAWAD,0.5583333333333333,0,0.14166666666666666,0.058333333333333334,0.24166666666666667
ABDELKADER,0.4645161290322581,0.08709677419354839,0.06774193548387097,0.12903225806451613,0.25161290322580643
ABDELKARIM,0.22826086956521738,0.4673913043478261,0.07608695652173914,0.06521739130434782,0.16304347826086957
ABDELKERIM,1,0,0,0,0
ABDELKHALEK,0.4264705882352941,0,0.10294117647058823,0,0.47058823529411764
ABDELKHALEQ,0.717948717948718,0,0,0,0.28205128205128205
ABDELKHALIK,0.75,0.25,0,0,0
ABDELL,0.8235294117647058,0,0.17647058823529413,0,0
ABDELLA,0.5866983372921615,0.3681710213776722,0,0.0166270783847981,0.028503562945368172
ABDELLATIF,0.5663430420711975,0.05501618122977346,0.003236245954692557,0.038834951456310676,0.3365695792880259
ABDELMAGEED,0.2903225806451613,0.3064516129032258,0,0.04838709677419355,0.3548387096774194
ABDELMAGID,0.22115384615384615,0.6923076923076923,0,0,0.08653846153846154
ABDELMAJID,0.23577235772357724,0.024390243902439025,0.11382113821138211,0.11382113821138211,0.5121951219512195
ABDELMAKSOUD,0.7419354838709677,0,0,0.22580645161290322,0.03225806451612903
ABDELMALAK,0.620253164556962,0.029535864978902954,0.08438818565400844,0.0759493670886076,0.189873417721519
ABDELMALEK,0.5333333333333333,0.03888888888888889,0,0,0.42777777777777776
ABDELMALIK,0.2826086956521739,0.32608695652173914,0.13043478260869565,0,0.2608695652173913
ABDELMASEIH,0.6176470588235294,0,0.38235294117647056,0,0
ABDELMASIH,0.5238095238095238,0,0,0,0.47619047619047616
ABDELMEGUID,0.7777777777777778,0,0,0,0.2222222222222222
ABDELMESSIH,0.6986301369863014,0,0,0.1232876712328767,0.1780821917808219
ABDELMONEIM,0.3,0.26666666666666666,0,0.23333333333333334,0.2
ABDELMONEM,0.34375,0,0,0.4375,0.21875
ABDELMUHSEN,0,0,0,0.2,0.8
ABDELMUTI,0.5714285714285714,0.42857142857142855,0,0,0
ABDELNABI,0.6470588235294118,0,0.0457516339869281,0.0718954248366013,0.23529411764705882
ABDELNOOR,0.6428571428571429,0.16666666666666666,0,0,0.19047619047619047
ABDELNOR,0.8333333333333334,0,0.16666666666666666,0,0
ABDELNOUR,0.851508120649652,0.016241299303944315,0.04176334106728538,0.016241299303944315,0.07424593967517401
ABDELNUR,0,0,1,0,0
ABDELQADER,0.477124183006536,0.006535947712418301,0.049019607843137254,0.10457516339869281,0.3627450980392157
ABDELQUADER,0.5131578947368421,0,0.3684210526315789,0,0.11842105263157894
ABDELRAHIM,0.38636363636363635,0.3465909090909091,0.045454545454545456,0,0.2215909090909091
ABDELRAHMAN,0.306282722513089,0.3089005235602094,0.034031413612565446,0.013089005235602094,0.337696335078534
ABDELRAZEK,0.49056603773584906,0.24528301886792453,0,0,0.2641509433962264
ABDELRAZIG,0.16666666666666666,0.6666666666666666,0,0,0.16666666666666666
ABDELRAZZAQ,0.6440677966101694,0,0,0,0.3559322033898305
ABDELREHIM,1,0,0,0,0
ABDELSALAM,0.5256410256410257,0.16025641025641027,0,0.04487179487179487,0.2692307692307692
ABDELSAMIE,0.6666666666666666,0,0,0,0.3333333333333333
ABDELSAYED,0.5897435897435898,0,0,0,0.41025641025641024
ABDELSHAHID,0.6153846153846154,0,0,0,0.38461538461538464
ABDELWAHAB,0.6714285714285714,0.1,0,0.03333333333333333,0.19523809523809524
ABDELWAHED,0.5773195876288659,0,0.07216494845360824,0.1958762886597938,0.15463917525773196
ABDEMUR,0.25,0,0.75,0,0
ABDENOUR,0.9078947368421053,0,0.09210526315789473,0,0
ABDERHALDEN,1,0,0,0,0
ABDI,0.09598853868194843,0.8144699140401146,0.0014326647564469914,0.010744985673352435,0.07736389684813753
ABDILAHI,0.09090909090909091,0.8484848484848485,0,0,0.06060606060606061
ABDILL,0.8985507246376812,0,0.10144927536231885,0,0
ABDILLAHI,0,0.8918918918918919,0,0,0.10810810810810811
ABDIN,0.4883720930232558,0.24916943521594684,0.05647840531561462,0.07308970099667775,0.132890365448505
ABDINOOR,0.9166666666666666,0,0,0,0.08333333333333333
ABDIRAHMAN,0,0.96,0,0,0.04
ABDISHI,1,0,0,0,0
ABDNOR,1,0,0,0,0
ABDNOUR,1,0,0,0,0
ABDO,0.6416717885679164,0.046097111247695145,0.17701290719114934,0.006146281499692686,0.1290719114935464
ABDOH,0.5172413793103449,0,0,0,0.4827586206896552
ABDOLI,0.2631578947368421,0.5263157894736842,0,0.18421052631578946,0.02631578947368421
ABDOLLAHI,0.7037037037037037,0,0,0.08641975308641975,0.20987654320987653
ABDON,0.6642512077294686,0.09178743961352658,0.028985507246376812,0.18115942028985507,0.033816425120772944
ABDONEY,0.9642857142857143,0,0.03571428571428571,0,0
ABDOO,0.9736842105263158,0,0,0,0.02631578947368421
ABDOOL,0.041666666666666664,0.12037037037037036,0.041666666666666664,0.3425925925925926,0.4537037037037037
ABDOU,0.7296703296703296,0.12087912087912088,0.015384615384615385,0,0.13406593406593406
ABDOUESSA,0.5185185185185185,0.48148148148148145,0,0,0
ABDOULAYE,0,1,0,0,0
ABDOULKARIM,0,0.5185185185185185,0.48148148148148145,0,0
ABDOUN,0.3170731707317073,0.17073170731707318,0.17073170731707318,0,0.34146341463414637
ABDOUS,0.5675675675675675,0.1891891891891892,0,0,0.24324324324324326
ABDOW,1,0,0,0,0
ABDU,0.029239766081871343,0.7309941520467836,0.12280701754385964,0.023391812865497075,0.0935672514619883
