name,whi,bla,his,asi,oth
JIVONNE,0,1,0,0,0
JIWAN,0.06666666666666667,0.7066666666666667,0,0.13333333333333333,0.09333333333333334
JIWEI,0,0,0,0.9512195121951219,0.04878048780487805
JIWEN,0,0,0,0.8409090909090909,0.1590909090909091
JIWON,0,0,0,0.9732620320855615,0.026737967914438502
JIWOO,0,0,0,1,0
JIWOONG,0,0,0,1,0
JIYA,0,0.7745098039215687,0,0.10784313725490197,0.11764705882352941
JIYEON,0,0,0,1,0
JIYOON,0,0,0,1,0
JIYOUN,0,0,0,1,0
JIYOUNG,0.008928571428571428,0,0,0.9598214285714286,0.03125
JIYU,0,0,0,1,0
JIYUN,0,0,0,0.9354838709677419,0.06451612903225806
JIZELLE,0,0.35135135135135137,0.527027027027027,0,0.12162162162162163
JIZETTE,0,0.38235294117647056,0.6176470588235294,0,0
JJ,0.7391304347826086,0.14906832298136646,0.08695652173913043,0,0.024844720496894408
JJAMES,1,0,0,0,0
JJESUS,0.007246376811594203,0,0.9565217391304348,0,0.036231884057971016
JJUAN,0,1,0,0,0
JK,0.84,0.02,0,0.14,0
JKAI,0,1,0,0,0
JKARI,0.12903225806451613,0.8709677419354839,0,0,0
JKAYLA,0,0.9166666666666666,0,0,0.08333333333333333
JKEITH,0.8852459016393442,0.11475409836065574,0,0,0
JKENNETH,1,0,0,0,0
JKEVIN,1,0,0,0,0
JKHARI,0.037037037037037035,0.9629629629629629,0,0,0
JKIA,0,1,0,0,0
JKIRA,0,1,0,0,0
JKOBE,0,0.967741935483871,0,0,0.03225806451612903
JKYLE,0.76,0,0,0,0.24
JKYRA,0,1,0,0,0
JL,0.578125,0.3671875,0,0.0234375,0.03125
JLA,0,0.967741935483871,0.016129032258064516,0,0.016129032258064516
JLARRY,1,0,0,0,0
JLAWRENCE,0.78125,0.21875,0,0,0
JLEE,0.8780487804878049,0.04878048780487805,0,0,0.07317073170731707
JLEN,0,1,0,0,0
JLENE,0.5365853658536586,0.34146341463414637,0.12195121951219512,0,0
JLEON,0.8275862068965517,0.1724137931034483,0,0,0
JLESA,0,1,0,0,0
JLEWIS,1,0,0,0,0
JLISA,0,1,0,0,0
JLON,0,1,0,0,0
JLYN,0.20945945945945946,0.7567567567567568,0.02702702702702703,0,0.006756756756756757
JLYNN,0.20903954802259886,0.7062146892655368,0.02824858757062147,0,0.05649717514124294
JLYNNE,0.6511627906976745,0.32558139534883723,0,0,0.023255813953488372
JM,0.7090909090909091,0.2909090909090909,0,0,0
JMANI,0,1,0,0,0
JMAR,0,0.99,0,0,0.01
JMARCUS,0.1134020618556701,0.8865979381443299,0,0,0
JMARI,0,0.974025974025974,0,0,0.025974025974025976
JMARIE,0.6052631578947368,0.3684210526315789,0.02631578947368421,0,0
JMARK,1,0,0,0,0
JMARSHALL,1,0,0,0,0
JMARTIN,0.6756756756756757,0,0.32432432432432434,0,0
JMATTHEW,1,0,0,0,0
JMAYA,0,1,0,0,0
JME,0.4166666666666667,0.5833333333333334,0,0,0
JMEL,0.1891891891891892,0.7567567567567568,0,0,0.05405405405405406
JMES,0.3076923076923077,0.6923076923076923,0,0,0
JMIA,0,1,0,0,0
JMIAH,0.2,0.8,0,0,0
JMICHAEL,0.8648068669527897,0.08369098712446352,0.030042918454935622,0.015021459227467811,0.006437768240343348
JMICHELLE,0.6111111111111112,0.3888888888888889,0,0,0
JMIKA,0,0.875,0,0,0.125
JMON,0,1,0,0,0
JMYA,0.07777777777777778,0.9222222222222223,0,0,0
JMYRA,0,1,0,0,0
JN,0,1,0,0,0
